Time ,Dis,flow,speed
0,1.79,59,72.3
1,1.79,82,70.85
2,1.79,82,69.625
3,1.79,72,70.25
4,1.79,92,70.525
5,1.79,73,72.175
6,1.79,47,71.625
7,1.79,54,70.225
8,1.79,63,70.725
9,1.79,70,70.975
10,1.79,52,71.9
11,1.79,43,70.375
12,1.79,51,71.175
13,1.79,44,71.575
14,1.79,40,70.525
15,1.79,48,71.925
16,1.79,41,70.5
17,1.79,62,69.025
18,1.79,48,69.625
19,1.79,38,69.975
20,1.79,64,71.8
21,1.79,37,71.8
22,1.79,41,69.25
23,1.79,32,73.7
24,1.79,43,70.4
25,1.79,49,72.65
26,1.79,34,70.4
27,1.79,37,70.525
28,1.79,29,71.85
29,1.79,30,72.775
30,1.79,47,70.875
31,1.79,38,71.475
32,1.79,32,71.8
33,1.79,46,70.65
34,1.79,46,71.85
35,1.79,42,68.575
36,1.79,38,70.775
37,1.79,46,72.075
38,1.79,30,72.5
39,1.79,46,70.375
40,1.79,51,71.475
41,1.79,44,70.925
42,1.79,44,69.425
43,1.79,50,70.675
44,1.79,59,71.525
45,1.79,61,71.175
46,1.79,47,71.175
47,1.79,52,70.675
48,1.79,64,70.75
49,1.79,55,72.375
50,1.79,58,71.55
51,1.79,68,71.55
52,1.79,56,71.425
53,1.79,101,70.325
54,1.79,92,71.05
55,1.79,162,71.975
56,1.79,130,72.9
57,1.79,137,70.75
58,1.79,137,71.8
59,1.79,126,72.9
60,1.79,115,72.225
61,1.79,133,71.175
62,1.79,155,71.55
63,1.79,211,72.375
64,1.79,256,71.025
65,1.79,237,72.675
66,1.79,315,71.3
67,1.79,319,70.9
68,1.79,401,71.175
69,1.79,330,71.575
70,1.79,357,71.1
71,1.79,321,70.225
72,1.79,356,71.175
73,1.79,366,71.4
74,1.79,394,70.425
75,1.79,461,69.025
76,1.79,504,68.225
77,1.79,550,68.55
78,1.79,514,69.55
79,1.79,547,68.55
80,1.79,548,68.525
81,1.79,530,66.425
82,1.79,517,66.725
83,1.79,484,63.1
84,1.79,572,63.6
85,1.79,517,61.925
86,1.79,526,57.6
87,1.79,502,59.45
88,1.79,511,62.425
89,1.79,488,65.275
90,1.79,537,62.85
91,1.79,507,52.2
92,1.79,490,47.075
93,1.79,496,50.325
94,1.79,505,57
95,1.79,514,51.825
96,1.79,388,40.525
97,1.79,403,43.425
98,1.79,399,39.175
99,1.79,488,50.7
100,1.79,458,56.175
101,1.79,479,58.025
102,1.79,476,52.625
103,1.79,491,53.325
104,1.79,478,51.875
105,1.79,478,53.4
106,1.79,472,49.475
107,1.79,444,49.875
108,1.79,432,49.775
109,1.79,472,51.2
110,1.79,461,54.55
111,1.79,447,55.075
112,1.79,467,59.85
113,1.79,425,47.875
114,1.79,411,51.825
115,1.79,411,51.825
116,1.79,454,47.75
117,1.79,462,58.2
118,1.79,447,67.475
119,1.79,400,68.275
120,1.79,450,67.925
121,1.79,411,70.225
122,1.79,435,68.5
123,1.79,377,68.725
124,1.79,417,69.25
125,1.79,435,68.275
126,1.79,449,68.05
127,1.79,451,68.5
128,1.79,460,68.425
129,1.79,412,67.4
130,1.79,438,68.075
131,1.79,430,69.375
132,1.79,446,67.925
133,1.79,434,69.025
134,1.79,449,68.275
135,1.79,492,67.475
136,1.79,444,68.675
137,1.79,460,68.675
138,1.79,411,68.275
139,1.79,438,68.35
140,1.79,438,66.675
141,1.79,366,42.925
142,1.79,296,36.475
143,1.79,327,37.55
144,1.79,339,33.825
145,1.79,334,37.25
146,1.79,406,55.45
147,1.79,444,69.1
148,1.79,426,69.1
149,1.79,456,69.025
150,1.79,460,68.525
151,1.79,471,69.45
152,1.79,447,68.2
153,1.79,462,68.375
154,1.79,435,69.1
155,1.79,444,69.55
156,1.79,415,68.575
157,1.79,444,69.7
158,1.79,439,68.875
159,1.79,460,67.7
160,1.79,449,68.625
161,1.79,481,67.15
162,1.79,450,68.875
163,1.79,450,68.975
164,1.79,503,67.925
165,1.79,464,68.575
166,1.79,457,67.4
167,1.79,490,68
168,1.79,380,68.875
169,1.79,406,68.875
170,1.79,469,68.225
171,1.79,481,68.05
172,1.79,471,66.525
173,1.79,432,68.7
174,1.79,451,66.1
175,1.79,476,66.875
176,1.79,439,68.725
177,1.79,527,65.525
178,1.79,439,59.45
179,1.79,447,66.45
180,1.79,452,66.975
181,1.79,457,67.925
182,1.79,514,67.025
183,1.79,481,66.975
184,1.79,445,69.25
185,1.79,499,63.4
186,1.79,439,55.975
187,1.79,485,56.175
188,1.79,484,64.425
189,1.79,442,55.9
190,1.79,465,62.65
191,1.79,404,60.925
192,1.79,394,42.025
193,1.79,497,50.525
194,1.79,444,58.275
195,1.79,460,58.875
196,1.79,375,36.9
197,1.79,394,37.2
198,1.79,355,35.3
199,1.79,433,47.55
200,1.79,492,57.975
201,1.79,442,57.325
202,1.79,471,56.325
203,1.79,357,39.925
204,1.79,452,56.5
205,1.79,484,61.1
206,1.79,438,49.025
207,1.79,461,52.5
208,1.79,419,42.825
209,1.79,451,52
210,1.79,451,51.875
211,1.79,371,42.55
212,1.79,401,40.925
213,1.79,434,47.575
214,1.79,416,41.25
215,1.79,468,52.625
216,1.79,454,60.275
217,1.79,467,63.4
218,1.79,444,64.225
219,1.79,468,67.825
220,1.79,442,68.725
221,1.79,481,69.025
222,1.79,444,69.325
223,1.79,444,68.275
224,1.79,454,69.1
225,1.79,435,70.525
226,1.79,370,69.325
227,1.79,406,70.9
228,1.79,408,69.475
229,1.79,352,70.675
230,1.79,403,70.4
231,1.79,370,70.3
232,1.79,385,70.15
233,1.79,360,69.775
234,1.79,331,71.55
235,1.79,366,71.05
236,1.79,366,71.025
237,1.79,355,70.775
238,1.79,352,71.575
239,1.79,334,71.575
240,1.79,301,71.4
241,1.79,292,71.275
242,1.79,319,71.675
243,1.79,312,70.6
244,1.79,289,71.3
245,1.79,312,70.975
246,1.79,304,71.7
247,1.79,296,70.6
248,1.79,370,69.575
249,1.79,277,71.425
250,1.79,282,71.3
251,1.79,300,69.6
252,1.79,313,69.775
253,1.79,295,70.325
254,1.79,285,70.05
255,1.79,285,70.375
256,1.79,289,70.25
257,1.79,278,70.225
258,1.79,334,70.425
259,1.79,298,70.675
260,1.79,263,72.075
261,1.79,244,70.6
262,1.79,240,71.775
263,1.79,214,72.175
264,1.79,214,70.275
265,1.79,212,71.5
266,1.79,237,70.575
267,1.79,155,70.4
268,1.79,170,72.175
269,1.79,184,71.275
270,1.79,225,71.475
271,1.79,137,70.675
272,1.79,147,71.575
273,1.79,204,72.175
274,1.79,185,69.975
275,1.79,159,71.65
276,1.79,133,70.975
277,1.79,115,72
278,1.79,122,71.85
279,1.79,85,71.725
280,1.79,111,72.25
281,1.79,111,72.575
282,1.79,133,71.8
283,1.79,101,71.4
284,1.79,85,73.125
285,1.79,108,71.175
286,1.79,88,70.875
287,1.79,95,70.95
